submission_a,submission_b,assignment_id,code_a,code_b,token_similarity,line_similarity,length_similarity,structure_similarity,typing_speed_gap,idle_ratio_gap,paste_ratio_gap,tab_switch_gap,suspicion_gap,label,semantic_similarity
sub_0001,sub_1001,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input(""Enter number""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    d = a + b
    print(d)
    a = b
    b = d",0.8823529411764706,0.4285714285714285,0.9850746268656716,0.9999600015999356,38,0.29,0.75,8,83,0,0.9987862
sub_0001,sub_1002,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","num = int(input(""Enter limit: ""))

x = 0
y = 1

print(x)
print(y)

for i in range(2, num):
    z = x + y
    print(z)
    x = y
    y = z",0.5238095238095238,0.0,0.978102189781022,0.9999600015999356,35,0.26,0.78,7,81,0,0.99722934
sub_0001,sub_1003,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input(""How many terms""))

x = 0
y = 1
c = 0

while c < n:
    print(x)
    t = x + y
    x = y
    y = t
    c += 1",0.3043478260869565,0.0,0.917910447761194,0.0,41,0.32,0.8099999999999999,9,87,0,0.99184257
sub_0001,sub_1004,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","terms = int(input())

a = 0
b = 1
count = 0

while count < terms:
    print(a)
    temp = a + b
    a = b
    b = temp
    count = count + 1",0.35,0.25,0.9571428571428572,0.0,37,0.27,0.76,8,82,0,0.99521554
sub_0001,sub_1005,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input())

f = [0, 1]

for i in range(2, n):
    f.append(f[i-1] + f[i-2])

print(f)",0.6111111111111112,0.0714285714285714,0.6791044776119403,0.9999600015999356,33,0.24,0.7,6,78,0,0.9831567
sub_0001,sub_1006,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","num = int(input(""Enter terms""))

fib = [0,1]

for i in range(2, num):
    value = fib[i-1] + fib[i-2]
    fib.append(value)

print(fib)",0.5238095238095238,0.0,0.9925925925925926,0.9999600015999356,39,0.3,0.7899999999999999,10,86,0,0.9862937
sub_0001,sub_1007,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input())

a, b = 0, 1

for i in range(n):
    print(a, end="" "")
    a, b = b, a+b",0.7058823529411765,0.0,0.664179104477612,0.9999600015999356,31,0.2299999999999999,0.6599999999999999,7,75,0,0.98631024
sub_0001,sub_1008,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","terms = int(input(""Enter number""))

x, y = 0, 1

for i in range(terms):
    print(x, end="" "")
    x, y = y, x + y",0.55,0.0,0.8432835820895522,0.9999600015999356,36,0.28,0.74,8,80,0,0.98375297
sub_0001,sub_1009,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input())

first = 0
second = 1

i = 1

while i <= n:

    print(first)

    sum = first + second
    first = second
    second = sum

    i = i + 1",0.35,0.0,0.864516129032258,0.0,40,0.31,0.82,9,88,0,0.9922836
sub_0001,sub_1010,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","num = int(input(""Enter terms""))

f = 0
s = 1

i = 1

while i <= num:

    print(f)

    t = f + s
    f = s
    s = t

    i += 1",0.3181818181818182,0.0,0.9626865671641792,0.0,34,0.25,0.72,7,79,0,0.9893796
sub_0002,sub_0003,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)",0.2222222222222222,0.0,0.7814207650273224,0.0,12,0.0799999999999999,0.01,2,6,0,0.9817982
sub_0002,sub_0004,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)",0.2608695652173913,0.0,0.8111888111888111,0.0,3,0.04,0.03,1,5,0,0.984927
sub_0002,sub_0005,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","def fib(n):
    if n <= 1:
        return n
    else:
        return fib(n-1) + fib(n-2)

terms = int(input(""Enter terms: ""))

for i in range(terms):
    print(fib(i), end="" "")",0.2307692307692307,0.0,0.8125,0.0,9,0.03,0.04,1,1,0,0.9858187
sub_0002,sub_0006,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","num = int(input(""enter no""))

f = 0
s = 1

for i in range(num):

    print(f)

    next = f + s
    f = s
    s = next",0.2083333333333333,0.0,0.8251748251748252,0.0,2,0.02,0.01,0,3,0,0.9935644
sub_0002,sub_0007,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input(""Enter terms: ""))

a, b = 0, 1

for i in range(n):
    print(a, end="" "")
    a, b = b, a + b",0.3181818181818182,0.0,0.7412587412587412,0.0,7,0.0699999999999999,0.0,1,4,0,0.99071026
sub_0002,sub_0008,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input(""Enter a positive number: ""))

if n <= 0:
    print(""Invalid input"")
else:
    a = 0
    b = 1

    for i in range(n):
        print(a)
        c = a + b
        a = b
        b = c",0.2222222222222222,0.0,0.7333333333333333,0.0,1,0.07,0.0199999999999999,2,8,0,0.9889319
sub_0002,sub_0009,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","def fibo(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        return fibo(n-1) + fibo(n-2)

n = int(input())

arr = []

for i in range(n):
    arr.append(fibo(i))

print(arr)",0.2222222222222222,0.0,0.6842105263157895,0.0,14,0.09,0.01,2,8,0,0.98175454
sub_0002,sub_0010,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input(""Enter number: ""))

a = 0
b = 1

print(""Fibonacci Series"")

for _ in range(n):
    print(a, end="" "")
    a, b = b, a + b",0.24,0.0,0.9370629370629372,0.0,4,0.0099999999999999,0.03,0,2,0,0.9919799
sub_0002,sub_0011,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","# fibonacci series program

n = int(input(""Enter terms""))

first = 0
second = 1

i = 1

while i <= n:

    print(first)

    third = first + second
    first = second
    second = third

    i = i + 1",0.3636363636363636,0.0,0.715,0.9999600015999356,1,0.03,0.01,1,6,0,0.9954725
sub_0002,sub_1001,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input(""Enter number""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    d = a + b
    print(d)
    a = b
    b = d",0.25,0.0,0.9230769230769232,0.0,43,0.2299999999999999,0.77,7,80,0,0.9933779
sub_0002,sub_1002,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","num = int(input(""Enter limit: ""))

x = 0
y = 1

print(x)
print(y)

for i in range(2, num):
    z = x + y
    print(z)
    x = y
    y = z",0.3043478260869565,0.25,0.958041958041958,0.0,40,0.2,0.8,6,78,0,0.99510515
sub_0002,sub_1003,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input(""How many terms""))

x = 0
y = 1
c = 0

while c < n:
    print(x)
    t = x + y
    x = y
    y = t
    c += 1",0.75,0.25,0.8601398601398601,0.9999600015999356,46,0.26,0.83,8,84,0,0.9987824
sub_0002,sub_1004,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","terms = int(input())

a = 0
b = 1
count = 0

while count < terms:
    print(a)
    temp = a + b
    a = b
    b = temp
    count = count + 1",0.5625,0.0526315789473684,0.9790209790209792,0.9999600015999356,42,0.21,0.78,7,79,0,0.99535924
sub_0002,sub_1005,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input())

f = [0, 1]

for i in range(2, n):
    f.append(f[i-1] + f[i-2])

print(f)",0.2857142857142857,0.0,0.6363636363636364,0.0,38,0.18,0.72,5,75,0,0.98326206
sub_0002,sub_1006,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","num = int(input(""Enter terms""))

fib = [0,1]

for i in range(2, num):
    value = fib[i-1] + fib[i-2]
    fib.append(value)

print(fib)",0.25,0.0,0.944055944055944,0.0,44,0.24,0.8099999999999999,9,83,0,0.9852115
sub_0002,sub_1007,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input())

a, b = 0, 1

for i in range(n):
    print(a, end="" "")
    a, b = b, a+b",0.2857142857142857,0.0,0.6223776223776224,0.0,36,0.1699999999999999,0.6799999999999999,6,72,0,0.99060506
sub_0002,sub_1008,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","terms = int(input(""Enter number""))

x, y = 0, 1

for i in range(terms):
    print(x, end="" "")
    x, y = y, x + y",0.3809523809523809,0.0,0.7902097902097902,0.0,41,0.22,0.76,7,77,0,0.9909235
sub_0002,sub_1009,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","n = int(input())

first = 0
second = 1

i = 1

while i <= n:

    print(first)

    sum = first + second
    first = second
    second = sum

    i = i + 1",0.3888888888888889,0.0,0.9225806451612903,0.9999600015999356,45,0.25,0.84,8,85,0,0.9944971
sub_0002,sub_1010,assignment_001,"n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1","num = int(input(""Enter terms""))

f = 0
s = 1

i = 1

while i <= num:

    print(f)

    t = f + s
    f = s
    s = t

    i += 1",0.35,0.0,0.902097902097902,0.9999600015999356,39,0.19,0.74,6,76,0,0.9950992
sub_0003,sub_0004,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)",0.4782608695652174,0.0,0.6338797814207651,0.4999900001999959,15,0.12,0.02,3,11,0,0.97841257
sub_0003,sub_0005,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","def fib(n):
    if n <= 1:
        return n
    else:
        return fib(n-1) + fib(n-2)

terms = int(input(""Enter terms: ""))

for i in range(terms):
    print(fib(i), end="" "")",0.48,0.0,0.9617486338797814,0.6666577778962947,3,0.0499999999999999,0.03,1,7,0,0.9937388
sub_0003,sub_0006,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","num = int(input(""enter no""))

f = 0
s = 1

for i in range(num):

    print(f)

    next = f + s
    f = s
    s = next",0.4782608695652174,0.0588235294117647,0.644808743169399,0.4999900001999959,10,0.1,0.0,2,9,0,0.9780806
sub_0003,sub_0007,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input(""Enter terms: ""))

a, b = 0, 1

for i in range(n):
    print(a, end="" "")
    a, b = b, a + b",0.7,0.0714285714285714,0.5792349726775956,0.4999900001999959,5,0.0099999999999999,0.01,1,2,0,0.977032
sub_0003,sub_0008,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input(""Enter a positive number: ""))

if n <= 0:
    print(""Invalid input"")
else:
    a = 0
    b = 1

    for i in range(n):
        print(a)
        c = a + b
        a = b
        b = c",0.5833333333333334,0.3125,0.9384615384615383,0.3333288889481473,13,0.15,0.0099999999999999,4,14,0,0.99450445
sub_0003,sub_0009,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","def fibo(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        return fibo(n-1) + fibo(n-2)

n = int(input())

arr = []

for i in range(n):
    arr.append(fibo(i))

print(arr)",0.4074074074074074,0.0,0.8755980861244019,0.6666577778962947,2,0.01,0.02,0,2,0,0.99419856
sub_0003,sub_0010,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input(""Enter number: ""))

a = 0
b = 1

print(""Fibonacci Series"")

for _ in range(n):
    print(a, end="" "")
    a, b = b, a + b",0.6363636363636364,0.2142857142857142,0.73224043715847,0.4999900001999959,8,0.07,0.02,2,8,0,0.97777677
sub_0003,sub_0011,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","# fibonacci series program

n = int(input(""Enter terms""))

first = 0
second = 1

i = 1

while i <= n:

    print(first)

    third = first + second
    first = second
    second = third

    i = i + 1",0.3461538461538461,0.0,0.915,0.0,11,0.1099999999999999,0.0,3,12,0,0.97780675
sub_0003,sub_1001,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input(""Enter number""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    d = a + b
    print(d)
    a = b
    b = d",0.5909090909090909,0.1764705882352941,0.7213114754098361,0.4999900001999959,31,0.3099999999999999,0.76,9,86,0,0.9824184
sub_0003,sub_1002,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","num = int(input(""Enter limit: ""))

x = 0
y = 1

print(x)
print(y)

for i in range(2, num):
    z = x + y
    print(z)
    x = y
    y = z",0.5217391304347826,0.0,0.7486338797814208,0.4999900001999959,28,0.28,0.79,8,84,0,0.9840454
sub_0003,sub_1003,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input(""How many terms""))

x = 0
y = 1
c = 0

while c < n:
    print(x)
    t = x + y
    x = y
    y = t
    c += 1",0.2692307692307692,0.0,0.6721311475409836,0.0,34,0.3399999999999999,0.82,10,90,0,0.9805032
sub_0003,sub_1004,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","terms = int(input())

a = 0
b = 1
count = 0

while count < terms:
    print(a)
    temp = a + b
    a = b
    b = temp
    count = count + 1",0.3043478260869565,0.1764705882352941,0.7650273224043715,0.0,30,0.29,0.77,9,85,0,0.9812516
sub_0003,sub_1005,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input())

f = [0, 1]

for i in range(2, n):
    f.append(f[i-1] + f[i-2])

print(f)",0.4545454545454545,0.0,0.4972677595628415,0.4999900001999959,26,0.26,0.71,7,81,0,0.9732175
sub_0003,sub_1006,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","num = int(input(""Enter terms""))

fib = [0,1]

for i in range(2, num):
    value = fib[i-1] + fib[i-2]
    fib.append(value)

print(fib)",0.4583333333333333,0.0,0.7377049180327869,0.4999900001999959,32,0.3199999999999999,0.7999999999999999,11,89,0,0.9822546
sub_0003,sub_1007,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input())

a, b = 0, 1

for i in range(n):
    print(a, end="" "")
    a, b = b, a+b",0.6842105263157895,0.0714285714285714,0.4863387978142076,0.4999900001999959,24,0.2499999999999999,0.6699999999999999,8,78,0,0.97651243
sub_0003,sub_1008,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","terms = int(input(""Enter number""))

x, y = 0, 1

for i in range(terms):
    print(x, end="" "")
    x, y = y, x + y",0.4782608695652174,0.0,0.6174863387978142,0.4999900001999959,29,0.3,0.75,9,83,0,0.9769162
sub_0003,sub_1009,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","n = int(input())

first = 0
second = 1

i = 1

while i <= n:

    print(first)

    sum = first + second
    first = second
    second = sum

    i = i + 1",0.3043478260869565,0.0,0.8469945355191257,0.0,33,0.3299999999999999,0.83,10,91,0,0.9770505
sub_0003,sub_1010,assignment_001,"def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)","num = int(input(""Enter terms""))

f = 0
s = 1

i = 1

while i <= num:

    print(f)

    t = f + s
    f = s
    s = t

    i += 1",0.3333333333333333,0.0,0.7049180327868853,0.0,27,0.27,0.73,8,82,0,0.9775833
sub_0004,sub_0005,assignment_001,"n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)","def fib(n):
    if n <= 1:
        return n
    else:
        return fib(n-1) + fib(n-2)

terms = int(input(""Enter terms: ""))

for i in range(terms):
    print(fib(i), end="" "")",0.5714285714285714,0.0,0.6590909090909091,0.3333288889481473,12,0.07,0.01,2,4,0,0.98898894
sub_0004,sub_0006,assignment_001,"n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)","num = int(input(""enter no""))

f = 0
s = 1

for i in range(num):

    print(f)

    next = f + s
    f = s
    s = next",0.5,0.0,0.9830508474576272,0.9999600015999356,5,0.0199999999999999,0.02,1,2,0,0.9871614
sub_0004,sub_0007,assignment_001,"n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)","n = int(input(""Enter terms: ""))

a, b = 0, 1

for i in range(n):
    print(a, end="" "")
    a, b = b, a + b",0.5789473684210527,0.0,0.913793103448276,0.9999600015999356,10,0.11,0.03,2,9,0,0.9904888
sub_0004,sub_0008,assignment_001,"n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)","n = int(input(""Enter a positive number: ""))

if n <= 0:
    print(""Invalid input"")
else:
    a = 0
    b = 1

    for i in range(n):
        print(a)
        c = a + b
        a = b
        b = c",0.4782608695652174,0.0,0.5948717948717949,0.4999900001999959,2,0.03,0.01,1,3,0,0.9777863
sub_0004,sub_0009,assignment_001,"n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)","def fibo(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        return fibo(n-1) + fibo(n-2)

n = int(input())

arr = []

for i in range(n):
    arr.append(fibo(i))

print(arr)",0.5454545454545454,0.0,0.5550239234449761,0.3333288889481473,17,0.13,0.04,3,13,0,0.98594576
sub_0004,sub_0010,assignment_001,"n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)","n = int(input(""Enter number: ""))

a = 0
b = 1

print(""Fibonacci Series"")

for _ in range(n):
    print(a, end="" "")
    a, b = b, a + b",0.4545454545454545,0.0,0.8656716417910447,0.9999600015999356,7,0.0499999999999999,0.0,1,3,0,0.99089026
sub_0004,sub_0011,assignment_001,"n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)","# fibonacci series program

n = int(input(""Enter terms""))

first = 0
second = 1

i = 1

while i <= n:

    print(first)

    third = first + second
    first = second
    second = third

    i = i + 1",0.3478260869565217,0.0,0.58,0.0,4,0.01,0.02,0,1,0,0.98436755
